name|desc|ai
Our Sundae|Two scoops of and whipped cream with a shot of esrepssp on the side|No, this dish is not keto friendly. Ice cream and whipped cream are high in sugar and carbohydrates, which are not allowed on a keto diet. The espresso shot may be low in carbs, but it is not enough to make this dish
Classic Sarasaparila Floats|Most popular made with cannmano bros, sasaparilla|No, this dish is not keto friendly. The classic sarsaparilla floats are made with cane sugar syrup, which is high in carbohydrates and not suitable for a keto diet.
Two Strictly Fresh Eggs|Any style|Yes, two strictly fresh eggs can be part of a keto diet. Eggs are a great source of healthy fats and protein, and they are low in carbs.
Two Strictly Fresh Eggs|With grilled niman ranch pastrami or sausage|Yes. Eggs are a great source of healthy fats and protein, and the grilled niman ranch pastrami or sausage is a low-carb option.
Eggs and Onions|Scrambled eggs and onions|Yes. Eggs and onions are both low-carb foods, making them a great choice for a keto-friendly meal. Eggs are a great source of protein and healthy fats, while onions are a low-carb vegetable.
Leo|The classic, lox eggs and onions|Yes. Lox is a great source of healthy fats and protein, and eggs and onions are both low-carb vegetables.
Peo|Same as above sub 3 ounces pastrami|No, this dish is not keto friendly. Pastrami is high in carbohydrates and is not suitable for a keto diet.
Teo|Same as above sub 3 ounce smoked trout|Yes. Smoked trout is a great source of healthy fats and protein, and when served without a bun, it can be part of a keto diet.
Plain Omelette|Add $1.00 for each additiolan ingredient sauteed onions, mushrooms tomatoes or spinach. Add $1.50 for cheese swiss cheese, cheddar or feta, $2.75 for meat, pastrami or chicken apple sausage|Yes. Plain omelettes are a great keto-friendly option as they are high in protein and healthy fats. Adding additional ingredients such as sauteed vegetables, cheese, and meat can also make the omelette more keto-
Sozzie's Deli Omelette|With pastrami, corned beef and salami, served pancake style|No, this dish is not keto friendly. While the meats are a good source of protein and healthy fats, the pancake style omelette is likely made with flour, which is high in carbohydrates and not suitable for a keto diet
Salami & Eggs|Scrambled eggs and salami|Yes. Salami is a great source of healthy fats and protein, and eggs are a low-carb food. This dish is a great option for a keto diet.
Kippers & Eggs|Half kipper, two eggs any style and grilled onions|Yes. Kippers are a type of fish that is high in healthy fats and protein, and eggs are a great source of protein. The grilled onions are low in carbs, making this a keto-friendly dish.
Backyard Omelette|Chef's choice of seasonal vegetables and cheese. Served with a mixed green salad|Yes. Omelettes are a great option for a keto diet, as they are high in protein and healthy fats. The vegetables and cheese provide additional nutrients, while the mixed green salad is a low-carb option.
Morning Salad|Mixed greens, vinaigrette, 2 oz grilled pastrami, a soft poached egg, tomato and chive|Yes, this dish is keto friendly. The mixed greens and vinaigrette provide a low-carb base, while the pastrami and egg provide healthy fats and protein. The tomato and chive add flavor without adding too many carbs
Morning Salad|With smoked salmon|Yes. Smoked salmon is a great source of healthy fats and protein, and when combined with a low-carb vegetable like arugula, it can make a great keto-friendly meal.
With smoked trout||Yes, smoked trout is keto friendly. Trout is a great source of healthy fats and protein, and it is low in carbohydrates.
Morning Salad|With kippered salmon|Yes, a morning salad with kippered salmon can be keto friendly. Kippered salmon is a great source of healthy fats and protein, and when combined with low-carb vegetables like lettuce, spinach, and cucumber, it can
Morning Salad|With sable|No, this dish is not keto friendly. Sable is a type of fish that is high in carbohydrates, which makes it unsuitable for a keto diet.
Shakshouka|One egg baked in a rich spicy cumin tomato sauce, oregano and parsley. Served with potatoes, dipping bread and mixed green salad|No, Shakshouka is not keto friendly because potatoes and bread are high in carbohydrates.
Shakshouka|With grilled salami|No, Shakshouka is not keto friendly because salami is high in carbohydrates and fat.
Smoked Salmon and Eggs|Freshly sliced smoked salmon with lemon and capers, served with two eggs any style, choice of toast and a mixed green salad|Yes. Smoked salmon is a great source of healthy fats and protein, and eggs are a low-carb food. The toast and mixed green salad can be omitted to make the meal keto-friendly.
Smoked Salmon and Eggs|With kippered salmon|Yes. Smoked salmon is a great source of healthy fats and protein, and eggs are a low-carb food. Kippered salmon is also a good source of healthy fats and protein.
Smoked Salmon and Eggs|With sable|Yes, smoked salmon and eggs can be part of a keto diet. Salmon is a great source of healthy fats and protein, while eggs are a low-carb food. Sable is also low in carbs, making this dish a great ket
Mrs. Anderman's Matzo Brei|Fried matzo and eggs with a touch of sweet onions. Served with your choice of house made applesauce and sour cream or cinnamon and brown sugar.|No, this dish is not keto friendly. Matzo is a type of unleavened bread made from wheat flour, which is high in carbohydrates. The eggs and onions are keto-friendly, but the applesauce and sour cream
Challah French Toast One|Thick cut and famous|No, Challah French Toast is not keto friendly. Challah is a type of bread that is high in carbohydrates, making it not suitable for a keto diet.
Challah French Toast Two|Thick cut and famous|No, Challah French Toast Two is not keto friendly. Challah bread is high in carbohydrates and sugar, making it not suitable for a keto diet.
Buttermilk Pancakes One||No, Buttermilk Pancakes are not keto friendly. Pancakes are typically made with flour, which is high in carbohydrates and not suitable for a keto diet.
Buttermilk Pancakes Three||No, Buttermilk Pancakes Three are not keto friendly. Pancakes are high in carbohydrates and sugar, which are not allowed on a keto diet.
Yeast Raised Waffle|Served with maple syrup, additional side of maple syrup $2.00, with fresh fruit add $2.00, the works one egg and chicken apple sausage or house smoked pastrami add $5.25|No, this dish is not keto friendly. Yeast raised waffles are high in carbohydrates and sugar, and the additional toppings such as maple syrup and fresh fruit will add even more carbohydrates to the dish.
Waffle, Pancake or French Toast Special|Whipped cream and your choice of pecans, walnuts or almonds with waffle|No, this dish is not keto friendly. While the nuts are a good source of healthy fats, the waffle and whipped cream are high in carbohydrates and sugar, which are not allowed on a keto diet.
Pancake|With one |No, pancakes are not keto friendly. Pancakes are usually made with flour, which is high in carbohydrates and not suitable for a keto diet.
Pancake Three||No, Pancake Three is not keto friendly. Pancakes are typically made with flour, sugar, and other high-carb ingredients, which are not allowed on a keto diet.
French Toast One||No, French Toast One is not keto friendly. French toast is typically made with bread, which is high in carbohydrates and not suitable for a keto diet.
French Toast Two||No, French Toast Two is not keto friendly. French toast is typically made with bread, which is high in carbohydrates and not suitable for a keto diet.
Hot Whole Grain Cereal Cup|Multi grain with natural brans and fibers. Choose two sides: warm milk, brown sugar, butter, dried fruit or almonds|No, this dish is not keto friendly. Whole grains are high in carbohydrates, and the sides offered are also high in carbohydrates, making this dish not suitable for a keto diet.
Hot Whole Grain Cereal Bowl|Multi grain with natural brans and fibers. Choose two sides: warm milk, brown sugar, butter, dried fruit or almonds|No, this dish is not keto friendly. Whole grains are high in carbohydrates, and the sides of warm milk, brown sugar, butter, dried fruit, and almonds all contain carbohydrates, making this dish not suitable for a keto diet.
House made Granola Cup|Served with greek yogurt seasonal fruit and honey|No, this dish is not keto friendly. Granola is high in carbohydrates, and the addition of greek yogurt, seasonal fruit, and honey make it even higher in carbs.
House made Granola Bowl||No, this dish is not keto friendly. Granola is typically high in carbohydrates, making it unsuitable for a keto diet.
Malawach Yemeni Pancake|Fresh tomato, labne yogurt cheese, zhoug, harissa and a poached egg|No, this dish is not keto friendly. Malawach is a type of flatbread made with wheat flour, which is high in carbohydrates. Additionally, the labne yogurt cheese, zhoug, harissa and poached egg are all
Malawach Yemeni Pancake|With shawarma|No, Malawach Yemeni Pancake with shawarma is not keto friendly. Shawarma is usually made with a combination of meats, which are high in carbohydrates and fats. Additionally, the pancake itself is made with flour, which
Eggs Benedict with Seasonal Vegetables|Two poached eggs on toasted challah roll with hollandaise, fresh fruit and zataar labne yogurt cheese|No, Eggs Benedict with Seasonal Vegetables is not keto friendly. The challah roll and hollandaise sauce are high in carbohydrates, and the fresh fruit and zataar labne yogurt cheese are also high in sugar.
Eggs Benedict with Seasonal Vegetables|With pastrami|No, Eggs Benedict with Seasonal Vegetables is not keto friendly. The pastrami is high in carbohydrates and the hollandaise sauce is also high in carbohydrates.
Eggs Benedict with Smoked Salmon||No, Eggs Benedict with Smoked Salmon is not keto friendly. The eggs and smoked salmon are both good sources of protein and healthy fats, but the hollandaise sauce and English muffin are high in carbohydrates and not suitable for a
A Cage Free Egg||Yes, a cage free egg is keto friendly. Eggs are a great source of healthy fats and protein, and they are low in carbs.
Organic Egg Whites||No, egg whites are not keto friendly. Egg whites are mostly protein and contain very little fat, which is an important macronutrient for a keto diet.
Potatoes or Latke||No, potatoes or latkes are not keto friendly. Potatoes are high in carbohydrates and should be avoided on a keto diet.
Toast||No, toast is not keto friendly. Toast is made from grains, which are high in carbohydrates and not suitable for a keto diet.
House Smoked Pastrami||No, House Smoked Pastrami is not keto friendly. Pastrami is usually made with cured and smoked beef, which is high in sodium and carbohydrates.
Grilled Chicken Apple Sausage||No, Grilled Chicken Apple Sausage is not keto friendly. The apple in the sausage adds carbohydrates, which are not allowed on a keto diet.
Fruit Salad||No, fruit salad is not keto friendly. Fruits are high in natural sugars and carbohydrates, which can be difficult to fit into a keto diet.
Warm Babka||No, Warm Babka is not keto friendly. Babka is a sweet bread that is high in carbohydrates and sugar, which are not allowed on a keto diet.
Blintz||No, blintz is not keto friendly. Blintzes are usually made with a crepe-like batter that is high in carbohydrates, making them not suitable for a keto diet.
